All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
756.500793	1.581704	3.203112	3.715050	0.000000	0.005210	0.005838	
758.079041	1.581683	3.202207	3.713625	0.000000	0.005176	0.005765	
759.657166	1.581662	3.201308	3.712199	0.000000	0.005141	0.005692	
761.235168	1.581640	3.200416	3.710783	0.000000	0.005107	0.005620	
762.813049	1.581619	3.199530	3.709388	0.000000	0.005073	0.005549	
764.390747	1.581598	3.198649	3.707993	0.000000	0.005038	0.005478	
765.968384	1.581577	3.197774	3.706608	0.000000	0.005005	0.005408	
767.545898	1.581555	3.196905	3.705245	0.000000	0.004971	0.005339	
769.123230	1.581534	3.196042	3.703881	0.000000	0.004938	0.005270	
770.700439	1.581513	3.195184	3.702527	0.000000	0.004906	0.005202	
772.277527	1.581492	3.194331	3.701194	0.000000	0.004874	0.005135	
773.854492	1.581470	3.193484	3.699860	0.000000	0.004843	0.005068	
775.431274	1.581444	3.192643	3.698535	0.000000	0.004812	0.005002	
777.007935	1.581404	3.191806	3.697231	0.000000	0.004783	0.004938	
778.584534	1.581364	3.190975	3.695927	0.000000	0.004754	0.004873	
780.160950	1.581324	3.190150	3.694628	0.000000	0.004726	0.004809	
781.737183	1.581285	3.189329	3.693354	0.000000	0.004699	0.004746	
783.313354	1.581245	3.188514	3.692079	0.000000	0.004674	0.004684	
784.889343	1.581205	3.187704	3.690805	0.000000	0.004649	0.004621	
786.465210	1.581165	3.186899	3.689559	0.000000	0.004626	0.004561	
788.040894	1.581125	3.186099	3.688313	0.000000	0.004604	0.004500	
789.616516	1.581085	3.185305	3.687067	0.000000	0.004583	0.004439	
791.191956	1.581045	3.184515	3.685846	0.000000	0.004564	0.004381	
792.767273	1.581006	3.183731	3.684628	0.000000	0.004546	0.004322	
794.342407	1.580966	3.182953	3.683409	0.000000	0.004529	0.004264	
795.917480	1.580926	3.182179	3.682210	0.000000	0.004514	0.004206	
797.492310	1.580886	3.181411	3.681019	0.000000	0.004501	0.004150	
799.067078	1.580846	3.180649	3.679829	0.000000	0.004489	0.004093	
800.641724	1.580815	3.179891	3.678649	0.000000	0.004479	0.004037	
802.216187	1.580796	3.179140	3.677486	0.000000	0.004471	0.003983	
803.790466	1.580778	3.178394	3.676322	0.000000	0.004464	0.003928	
805.364624	1.580759	3.177654	3.675162	0.000000	0.004459	0.003873	
806.938599	1.580740	3.176919	3.674025	0.000000	0.004456	0.003821	
808.512512	1.580722	3.176191	3.672888	0.000000	0.004455	0.003768	
810.086243	1.580703	3.175469	3.671751	0.000000	0.004455	0.003715	
