"channel","Energy","counts","fit","continuum","pileup","Si Ka","Si Kb","P Ka","P Kb","Ni Ka","Ni Kb","Ga Ka","Ga Kb","Ga L1","Ga L2","Ga L3","Rh L1","Rh L2","Rh L3"
833,7.369187,60,60.28743,37.29112,0.0003668993,0.07428687,0.00250382,0.0009471048,1.028349e-05,22.86324,0.005039509,0.04685626,0.002772773,1.429617e-05,4.556246e-05,5.639591e-05,3.254776e-05,5.052977e-05,8.3358e-05
834,7.379191,79,65.45804,37.49504,0.0003654308,0.07402358,0.002494792,0.0009435794,1.024429e-05,27.82957,0.005152952,0.0473596,0.002792023,1.424919e-05,4.541681e-05,5.621638e-05,3.239374e-05,5.030387e-05,8.299548e-05
835,7.389194,70,71.05244,37.69851,0.0003639782,0.07376169,0.002485813,0.0009400737,1.020532e-05,33.22014,0.005270256,0.04787108,0.002811474,1.420245e-05,4.527185e-05,5.60377e-05,3.22408e-05,5.007949e-05,8.263532e-05
836,7.399197,83,76.91886,37.90197,0.0003625413,0.07350118,0.002476883,0.0009365874,1.016657e-05,38.88271,0.005391599,0.04839089,0.002831129,1.415593e-05,4.512759e-05,5.585987e-05,3.208896e-05,4.98566e-05,8.227751e-05
837,7.409201,96,82.85848,38.10492,0.0003611201,0.07324206,0.002468,0.0009331206,1.012804e-05,44.61898,0.005517167,0.04891921,0.002850991,1.410965e-05,4.498401e-05,5.568289e-05,3.193818e-05,4.963521e-05,8.192201e-05
838,7.419204,96,88.63605,38.30787,0.0003597145,0.0729843,0.002459165,0.0009296729,1.008973e-05,50.19319,0.005647158,0.04945622,0.002871062,1.406359e-05,4.484112e-05,5.550675e-05,3.178847e-05,4.941528e-05,8.156882e-05
839,7.429207,94,93.99178,38.51035,0.0003583243,0.0727279,0.002450378,0.0009262443,1.005164e-05,55.346,0.005781782,0.05000211,0.002891346,1.401776e-05,4.469891e-05,5.533144e-05,3.163981e-05,4.919681e-05,8.121791e-05
840,7.43921,94,98.6616,38.71284,0.0003569496,0.07247285,0.002441637,0.0009228346,1.001376e-05,59.8129,0.00592126,0.05055709,0.002911846,1.397215e-05,4.455737e-05,5.515696e-05,3.149219e-05,4.897979e-05,8.086925e-05
841,7.449214,83,102.397,38.91491,0.0003555903,0.07221913,0.002432943,0.0009194437,9.976099e-06,63.34579,0.006065827,0.05112135,0.002932565,1.392676e-05,4.44165e-05,5.498331e-05,3.134561e-05,4.876421e-05,8.052284e-05
842,7.459217,99,104.9897,39.11698,0.0003542462,0.07196675,0.002424296,0.0009160715,9.938647e-06,65.73591,0.006215734,0.0516951,0.002953505,1.388159e-05,4.427631e-05,5.481047e-05,3.120005e-05,4.855005e-05,8.017866e-05
843,7.46922,86,106.2913,39.31853,0.0003529173,0.07171569,0.002415694,0.0009127178,9.901405e-06,66.83546,0.006371245,0.05227856,0.00297467,1.383664e-05,4.413677e-05,5.463845e-05,3.105551e-05,4.833729e-05,7.983668e-05
844,7.479224,86,106.2323,39.52007,0.0003516035,0.07146594,0.002407139,0.0009093825,9.864373e-06,66.57443,0.006532643,0.05287194,0.002996064,1.379191e-05,4.399789e-05,5.446724e-05,3.091197e-05,4.812593e-05,7.949688e-05
845,7.489227,93,104.8287,39.7212,0.0003503048,0.07121749,0.002398628,0.0009060654,9.827548e-06,64.96917,0.006700226,0.05347547,0.003017689,1.37474e-05,4.385967e-05,5.429683e-05,3.076942e-05,4.791596e-05,7.915925e-05
846,7.49923,90,102.1817,39.92234,0.0003490211,0.07097034,0.002390163,0.0009027664,9.790928e-06,62.1205,0.006874315,0.05408939,0.003039549,1.37031e-05,4.37221e-05,5.412722e-05,3.062787e-05,4.770736e-05,7.882376e-05
847,7.509233,86,98.46428,40.12304,0.0003477523,0.07072447,0.002381742,0.0008994854,9.754513e-06,58.20177,0.007055247,0.05471394,0.003061647,1.365902e-05,4.358517e-05,5.39584e-05,3.048729e-05,4.750012e-05,7.849041e-05
848,7.519237,90,93.90345,40.32375,0.0003464984,0.07047987,0.002373366,0.0008962223,9.718301e-06,53.43965,0.007243386,0.05534935,0.003083987,1.361515e-05,4.344889e-05,5.379037e-05,3.034767e-05,4.729422e-05,7.815917e-05
849,7.52924,95,88.75612,40.524,0.0003452594,0.07023654,0.002365034,0.0008929769,9.68229e-06,48.09146,0.007439117,0.05599589,0.003106573,1.357148e-05,4.331324e-05,5.362312e-05,3.020902e-05,4.708967e-05,7.783002e-05
850,7.539243,97,83.28797,40.72424,0.0003440351,0.06999447,0.002356746,0.0008897491,9.646479e-06,42.42245,0.007642853,0.05665381,0.003129407,1.352803e-05,4.317823e-05,5.345666e-05,3.007132e-05,4.688644e-05,7.750295e-05
851,7.549247,95,77.75117,40.92408,0.0003428255,0.06975365,0.002348501,0.0008865388,9.610866e-06,36.68516,0.007855033,0.05732338,0.003152494,1.348479e-05,4.304385e-05,5.329096e-05,2.993456e-05,4.668452e-05,7.717794e-05
852,7.55925,71,72.36921,41.12391,0.0003416307,0.06951407,0.002340299,0.0008833458,9.57545e-06,31.10269,0.008076129,0.05800489,0.003175837,1.344175e-05,4.291009e-05,5.312604e-05,2.979873e-05,4.648391e-05,7.685497e-05
853,7.569253,67,67.32326,41.32327,0.0003404505,0.06927572,0.002332141,0.00088017,9.540229e-06,25.85669,0.008306644,0.05869861,0.003199441,1.339892e-05,4.277696e-05,5.296188e-05,2.966383e-05,4.628458e-05,7.653403e-05
854,7.579256,78,62.74744,41.52262,0.0003392849,0.0690386,0.002324024,0.0008770113,9.505202e-06,21.0808,0.008547118,0.05940484,0.003223308,1.33563e-05,4.264445e-05,5.279848e-05,2.952984e-05,4.608654e-05,7.621509e-05
